,IntegratedGradients_L2,IntegratedGradients_L1,IntegratedGradients_sum,InputXGradient_L2,InputXGradient_L1,InputXGradient_sum,Saliency_L2,Saliency_L1,Saliency_sum,GradientShap_L2,GradientShap_L1,GradientShap_sum,Occlusion_L2,Occlusion_L1,Occlusion_sum,model_name,run_id1,run_id2,source,token_types
0,-0.18300273027162225,-0.18357131934880588,-0.05126099926653458,-0.13880268370081608,-0.11012273362173297,-0.2897501664100421,-0.12118221412823829,-0.12308962814952605,-0.2687042924893544,-0.22210056013186608,-0.21967192045072403,-0.189757741696221,-0.09779499692671545,-0.09779499692671545,-0.09785558241342782,bert-base,3dbwtw65,zo8b12mw,scientsbank,True
1,0.16015887724652605,0.283561987659689,0.20151475910086414,0.2196521486185614,0.26187390757985024,0.076361833140025,0.15316030092925564,0.1537211167741818,0.18437043810813397,0.18378142174282383,0.23083142395381304,0.13114296099824613,-0.1365865504258531,-0.1365865504258531,0.015342950625228889,roberta-base,37jg5vpb,18y43yta,scientsbank,True
2,0.08016157196704195,0.08873308469405225,0.08580219509220217,0.0916061323029279,0.08972264764368754,0.14189482976792825,0.0926565855719131,0.09232226037668399,0.14764145844279525,0.09739295892633681,0.09554220570681365,0.09735942733684556,0.1629909248656517,0.1629909248656517,0.18972939587620122,roberta-large,3khdojqa,39a8qpfx,scientsbank,True
3,-0.013649529115498764,-0.01309892516393042,0.05772916679447411,0.05136388028170652,0.047100643429300114,-0.06251984031799532,0.033767263863016754,0.031867318241348884,0.0029925801068735607,-0.006643408063878593,-0.0199590308753351,0.04149469422610226,0.15590371845901463,0.15590371845901463,0.17542550540012922,albert-base,1x1id93e,14w2bdjb,scientsbank,True
4,0.03469014467318875,0.030175039854009558,0.09345494224964733,-0.21656541333076565,-0.19296229841370047,-0.14408467122790283,-0.2101297104787248,-0.20661643812284217,-0.17655948281180217,0.023786280774973717,0.00938072888873512,0.03906567350417057,0.08660451459422451,0.08660451459422451,0.03760106773727954,albert-large,2iq8yc9g,11yoabno,scientsbank,True
5,0.14736863323219115,0.13996188601324597,0.26052067929362205,0.05611523039498423,0.06536110912440674,0.08077390452771346,0.05838562387943047,0.060430365003932916,0.0023355895648014937,0.07884469347068891,0.06365484532706533,0.1627703372472002,0.09071815482975498,0.09071815482975498,0.1830310034987547,distilroberta,j2npaw78,2bnszwnt,scientsbank,True
6,0.18996960399458787,0.17203157502184602,0.2750777332751764,0.15192382354320771,0.15697017544147102,0.18463899566181244,0.1455711875848983,0.14833815343590775,0.1898623791143309,0.1762397862254479,0.15119557549152504,0.22426540527431713,0.20720225024404712,0.20720225024404712,0.2716293902710911,roberta-base-squad2,12y3pqyr,22e77h3u,scientsbank,True
7,0.10616394836607611,0.1112219601127256,0.35147161194622345,-0.16149648286008003,-0.1647021790846783,-0.021018172254750618,-0.16538386107039163,-0.1637868428822856,-0.11867610880680922,0.029884762405540236,0.044285818010460686,0.22308093997961703,0.14847685228599142,0.14847685228599142,0.28026034536242295,distilroberta-base-squad2,3p2l1x8q,x2ipylqz,scientsbank,True
8,-0.1500017775553177,-0.10605580898790651,-0.03329675468696375,-0.1889370596430585,-0.17967906381629353,-0.2098290692899446,-0.20086584662368706,-0.2005242816533162,-0.20613693638398153,-0.06756931546346022,-0.07001647372698036,-0.12665003283904788,0.09325466720677932,0.09325466720677932,0.2121563140612932,bert-base-squad2,duz1lf4b,173b3jng,scientsbank,True
9,-0.007341703554908684,-0.01854521748265474,0.11420025118971416,-0.06313026767468215,-0.053891628720401374,-0.009080164086836302,-0.05725004609641041,-0.05015643820438487,-0.06275707631816586,-0.014805149362369206,0.012584900889099623,0.01842347459702984,0.12211690720311522,0.12211690720311522,0.11691928210846946,albert-base-squad2,37yt6a7b,2zfe337c,scientsbank,True
